transaction_id,customer_id,transaction_date,transaction_amount,payment_method,merchant_category,status,city,device_type,fraud_flag,account_balance
1,1081,27-02-2024,59.77,UPI,Electronics,Completed,Bangalore,Tablet,0,6799.32
2,1069,14-02-2024,1185.08,Credit Card,Groceries,Completed,Ahmedabad,Mobile,0,5656.33
3,1091,28-11-2024,1405.64,Net Banking,Electronics,Pending,Pune,Mobile,0,7011.58
4,1043,22-05-2024,319.4,UPI,Groceries,Completed,Hyderabad,Mobile,0,8490.19
5,1077,15-05-2024,1616.19,Net Banking,Entertainment,Completed,Hyderabad,Mobile,0,8311.11
6,1079,04-07-2024,1158.93,Credit Card,Groceries,Failed,Ahmedabad,Desktop,0,8567.65
7,1012,13-07-2024,563.17,UPI,Electronics,Pending,Chennai,Mobile,0,7048.02
8,1087,27-11-2024,152.09,Debit Card,Entertainment,Failed,Ahmedabad,Mobile,1,3856.61
9,1081,18-12-2024,1118.33,UPI,Healthcare,Completed,Ahmedabad,Mobile,0,4071.53
10,1008,18-04-2024,1827.14,Wallet,Utilities,Pending,Ahmedabad,Tablet,1,4016.76
11,1082,22-08-2024,294.31,Debit Card,Electronics,Failed,Pune,Tablet,1,8988.45
12,1051,04-07-2024,446.45,Debit Card,Entertainment,Pending,Delhi,Mobile,0,1613.13
13,1020,14-12-2024,850.1,Credit Card,Food,Pending,Kolkata,Tablet,0,9713.68
14,1001,14-12-2024,1444.24,Wallet,Healthcare,Pending,Chennai,Mobile,0,4404.18
15,1058,02-01-2024,1908.09,UPI,Entertainment,Completed,Delhi,Tablet,0,8432.53
16,1064,07-11-2024,405.83,UPI,Healthcare,Completed,Mumbai,Tablet,0,4937.2
17,1014,04-07-2024,1758.66,UPI,Electronics,Completed,Ahmedabad,Tablet,0,947.97
18,1062,05-02-2024,1956.19,Wallet,Healthcare,Completed,Bangalore,Tablet,1,9473.8
19,1021,15-05-2024,1060.07,Wallet,Food,Completed,Ahmedabad,Tablet,0,4050.02
20,1085,28-11-2024,753.11,Wallet,Food,Completed,Ahmedabad,Mobile,0,3447.05
21,1075,10-10-2024,467.93,Debit Card,Groceries,Completed,Mumbai,Mobile,0,9063.66
22,1042,06-02-2024,1033.17,UPI,Utilities,Pending,Ahmedabad,Tablet,0,7261.19
23,1073,22-10-2024,950.62,Net Banking,Healthcare,Pending,Ahmedabad,Mobile,0,6623.93
24,1045,04-08-2024,828.09,Credit Card,Utilities,Failed,Delhi,Mobile,1,7309.31
25,1013,07-05-2024,391.26,Wallet,Food,Completed,Hyderabad,Mobile,0,4680.02
26,1009,14-08-2024,1617.96,Wallet,Groceries,Completed,Mumbai,Mobile,0,1746.48
27,1062,03-09-2024,435.36,Net Banking,Groceries,Completed,Hyderabad,Mobile,1,2725.51
28,1100,20-08-2024,577.65,Wallet,Utilities,Failed,Kolkata,Mobile,0,3037.41
29,1007,23-10-2024,1474.12,Credit Card,Utilities,Pending,Mumbai,Mobile,1,5078.22
30,1067,21-03-2024,123.19,Wallet,Groceries,Completed,Delhi,Tablet,0,6784.6
31,1030,25-07-2024,248.57,Wallet,Electronics,Failed,Mumbai,Tablet,0,4250.33
32,1074,16-10-2024,1050.34,UPI,Electronics,Failed,Chennai,Mobile,0,4018.28
